"","X1","sex","age","income1","same_city","same_count","seller_sco","dispersao","type","V11","V12","V12.1","income","actual"
"61",62,"F",47,0.2,"1","1",0.272727272727273,0.00836869968973498,"0.5",0.992853112657514,13,3,"0.2","0"
"62",63,"M",46,0.2,"1","1",0.353535353535354,0.00970110466967894,"0",0.97212138812255,9,3,"0.2","0"
"63",64,"F",41,0.2,"1","1",0.161616161616162,0.0112798149825515,"0.25",0.982855013045099,46,3,"0.2","0"
"64",65,"F",31,0.2,"0","0",0.0707070707070707,0.220606518308234,"1",0.885634588563459,51,7,"0.2","0"
"65",66,"M",41,0.2,"1","1",0.0707070707070707,0.00985081079985255,"0.25",0.963785796840889,42,3,"0.2","0"
"66",67,"F",56,0.2,"1","1",0.646464646464647,0.0127292899115141,"0.25",0.995424388011897,62,2,"0.2","0"
"67",68,"F",69,0.2,"1","1",0.464646464646465,0.0128901009931072,"0.25",0.989976869699306,5,3,"0.2","0"
"68",69,"F",72,0.2,"1","1",0.97979797979798,0.00986548620022017,"0.5",1,18,2,"0.2","0"
"69",70,"F",71,0.2,"1","1",0.202020202020202,0.174007612392361,"1",0.00556792873051225,43,4,"0.2","1"
"70",71,"F",69,0.2,"1","1",0.676767676767677,0.00993370432878734,"0",1,34,2,"0.2","0"
"71",72,"F",39,0.2,"0","1",0.383838383838384,0.0171337884018878,"1",0.949377732929701,7,5,"0.2","0"
"72",73,"M",47,0.2,"1","1",0.828282828282828,0.00468698722709818,"0.75",1,33,3,"0.2","0"
"73",74,"F",57,0.2,"1","1",0.919191919191919,0.0164708449102547,"0.5",1,38,2,"0.2","0"
"74",75,"F",25,0.2,"1","1",0.202020202020202,0.00797351856079473,"0.5",0.974744760881247,17,3,"0.2","0"
"75",76,"F",31,0.4,"1","1",0.0909090909090909,0.00498825628612419,"0.5",0.919736118746564,70,2,"0.4","0"
"76",77,"F",77,0.2,"0","0",0.333333333333333,0.0101265196858285,"1",0.0154559505409583,20,5,"0.2","0"
"77",78,"F",60,0.2,"1","1",1,0.0100735674612684,"0.75",1,18,3,"0.2","0"
"78",79,"M",50,0.2,"0","1",0.171717171717172,0.0974749040100062,"1",0.869925671812464,28,6,"0.2","0"
"79",80,"F",26,0.2,"0","1",0.252525252525253,0.0963402090542001,"1",0,29,5,"0.2","0"
"80",81,"M",61,0.2,"1","1",0.191919191919192,0.0110456502571223,"0.75",0.904969485614647,74,4,"0.2","0"
"81",82,"M",63,0.2,"1","1",0.464646464646465,0.00598254116166641,"0.5",0.989976869699306,5,3,"0.2","0"
"82",83,"M",38,0.2,"1","1",0.0707070707070707,0.00567022137156229,"0.25",0.963785796840889,42,3,"0.2","0"
"83",84,"F",47,0.2,"1","1",0.626262626262626,0.00479643734874472,"0.5",0.995850622406639,61,2,"0.2","0"
"84",85,"M",34,0.2,"1","1",0.868686868686869,0.00281999128377118,"0.5",1,48,2,"0.2","0"
"85",86,"M",31,0.2,"1","1",0.383838383838384,0.0132163791648366,"0",0.993975903614458,55,3,"0.2","0"
"86",87,"M",33,0.2,"1","1",0.656565656565657,0.0088037852554673,"0.75",0.995424388011897,62,3,"0.2","0"
"87",88,"F",51,0.2,"0","0",0.868686868686869,0.203246614724417,"1",1,15,6,"0.2","0"
"88",89,"M",43,0.4,"1","1",0.232323232323232,0.0100557188723479,"0.75",0.919736118746564,70,3,"0.4","0"
"89",90,"M",29,0.2,"1","1",0.818181818181818,0.00434627268074837,"0.5",1,33,2,"0.2","0"
"90",91,"F",64,0.2,"1","1",0.0808080808080808,0.00864768768259509,"0.25",0.963785796840889,42,3,"0.2","0"
"91",92,"M",40,0.2,"0","1",0.656565656565657,0.0150913738737502,"1",0.949232406140751,31,4,"0.2","0"
"92",93,"F",69,0.2,"1","1",0.555555555555556,0.00857030028973435,"0.75",0.979356270810211,2,3,"0.2","0"
"93",94,"F",28,0.2,"1","1",0.282828282828283,0.0126406760583406,"0.75",0.992853112657514,13,4,"0.2","0"
"94",95,"F",79,0.2,"1","1",0.121212121212121,0.00987333463792918,"0.5",0.982855013045099,46,3,"0.2","0"
"95",96,"M",62,0.2,"1","1",0.151515151515152,0.00869645688662023,"0.25",0.982855013045099,46,3,"0.2","0"
"96",97,"M",48,0.2,"1","1",0.888888888888889,0.0106300447245739,"0",1,38,2,"0.2","0"
"97",98,"F",46,0.2,"1","1",0.646464646464647,0.00189486606865652,"0.25",0.995850622406639,61,2,"0.2","0"
"98",99,"F",41,0.2,"1","1",0.616161616161616,0.0105462056710837,"0",0.983249279538905,14,2,"0.2","0"
"99",100,"F",60,0.2,"0","1",0.737373737373737,0.0493403960755723,"1",0.949232406140751,31,5,"0.2","0"
"100",101,"M",35,0.2,"1","1",0.666666666666667,0.00682288920801409,"0.25",1,34,2,"0.2","0"
"101",102,"M",67,0.2,"1","1",0.464646464646465,0.00692904637385993,"0",0.989976869699306,5,3,"0.2","0"
"102",103,"M",49,0.2,"1","1",0.474747474747475,0.0114318231471555,"0.75",0.989976869699306,5,4,"0.2","0"
"103",104,"M",51,0.2,"1","1",0.858585858585859,0.00771814778599315,"0.5",1,48,2,"0.2","0"
"104",105,"M",70,0.2,"0","0",0.181818181818182,0.0338755812976687,"1",0.87270942408377,60,7,"0.2","0"
"105",106,"F",23,0.2,"0","1",0.323232323232323,0.125504875577864,"1",0.949377732929701,7,6,"0.2","0"
"106",107,"F",21,0.2,"0","0",0.505050505050505,0.107905486334826,"1",0.937196503722888,16,6,"0.2","0"
"107",108,"M",35,0.2,"1","1",0.787878787878788,0.00223448581496819,"0",1,4,2,"0.2","0"
"108",109,"F",58,0.2,"0","0",0.262626262626263,0.00389704739903496,"1",0.0154559505409583,20,5,"0.2","0"
"109",110,"F",74,0.2,"1","1",0.686868686868687,0.00411566295469307,"0.5",1,34,2,"0.2","0"
"110",111,"M",69,0.2,"1","1",0.111111111111111,0.0110756774513318,"0",0.963785796840889,42,3,"0.2","0"
"111",112,"M",41,0.2,"1","1",0.343434343434343,0.00725194938765875,"0.25",0.97212138812255,9,3,"0.2","0"
"112",113,"M",72,0.2,"1","1",0.838383838383838,0.00475782313202108,"0.5",1,54,2,"0.2","0"
"113",114,"F",38,0.2,"1","1",0.363636363636364,0.0108540069314266,"0",0.97212138812255,9,3,"0.2","0"
"114",115,"M",33,0.2,"1","1",0.97979797979798,0.0121586360194412,"0.75",1,18,3,"0.2","0"
"115",116,"M",31,0.2,"1","1",0.101010101010101,0.00692892419098503,"0.25",0.963785796840889,42,3,"0.2","0"
"116",117,"M",40,0.2,"1","1",0.767676767676768,0.00330910055722624,"0.5",1,25,2,"0.2","0"
"117",118,"F",67,0.4,"1","1",0.383838383838384,0.00320567780960274,"0.5",0.990062111801242,41,2,"0.4","0"
"118",119,"F",55,0.2,"0","0",0.595959595959596,0.165547897709757,"1",0.972802024035421,59,6,"0.2","0"
"119",120,"F",44,0.2,"1","1",0.929292929292929,0.010006285146979,"0.75",1,64,3,"0.2","0"
"120",121,"F",55,0.2,"1","1",0,0.011199748877603,"0.25",0.985052562417871,26,3,"0.2","0"
"121",122,"F",61,1,"1","1",0.474747474747475,0.00918881742203785,"0.25",0.989714285714286,47,2,"1","0"
"122",123,"F",66,0.2,"1","1",0.353535353535354,0.0117153335015711,"0.75",0.97212138812255,9,4,"0.2","0"
"123",124,"F",62,0.2,"1","1",0.0404040404040404,0.00647916966339033,"0.75",0.985052562417871,26,4,"0.2","0"
"124",125,"M",75,0.2,"1","1",0.929292929292929,0.0206459284166233,"0.75",1,64,3,"0.2","0"
"125",126,"M",36,0.2,"0","1",0.474747474747475,0.109552806886829,"1",0.949377732929701,7,6,"0.2","0"
"126",127,"M",27,0.2,"1","1",0.505050505050505,0.150094419267207,"1",0.00640204865556978,53,3,"0.2","1"
"127",128,"F",22,0.2,"1","1",0.898989898989899,0.00508117979114717,"0.5",1,38,2,"0.2","0"
"128",129,"F",34,0.2,"1","1",0.141414141414141,0.0136158551809066,"0.25",0.982855013045099,46,3,"0.2","0"
"129",131,"F",62,0.2,"1","1",0.525252525252525,0.00359420261797769,"0.5",0.979356270810211,2,2,"0.2","0"
"130",132,"F",62,0.2,"1","1",0.141414141414141,0.010602177574627,"0.75",0.982855013045099,46,4,"0.2","0"
"131",133,"F",65,0.2,"1","1",0.616161616161616,0.0113467489124189,"0.25",0.983249279538905,14,2,"0.2","0"
"132",134,"M",73,0.2,"1","1",0.323232323232323,0.0550716017549746,"0.25",0.989998386836587,19,4,"0.2","0"
"133",135,"F",25,0.2,"0","0",0.94949494949495,0.117663061389005,"1",1,50,6,"0.2","0"
"134",136,"F",24,0.2,"1","1",0.0909090909090909,0.00483945472406979,"0.5",0.963785796840889,42,3,"0.2","0"
"135",137,"F",80,0.2,"0","1",0.141414141414141,0.0789485945479335,"1",0.869925671812464,28,6,"0.2","0"
"136",138,"M",69,0.4,"1","1",0.131313131313131,0.0228139368380092,"0.5",0.919736118746564,70,2,"0.4","0"
"137",139,"M",41,0.2,"1","1",0.95959595959596,0.0238210780036027,"0.5",1,67,2,"0.2","0"
"138",140,"M",29,0.2,"1","1",0.101010101010101,0.00635925498148265,"0.25",0.963785796840889,42,3,"0.2","1"
"139",141,"F",41,0.2,"1","1",0.0404040404040404,0.00340674763652951,"0.5",0.985052562417871,26,3,"0.2","0"
"140",142,"F",80,0.2,"1","1",0.97979797979798,0.0029301810033944,"0.5",1,18,2,"0.2","0"
"141",143,"M",64,0.2,"1","1",0.94949494949495,0.00643841947590569,"0",1,8,2,"0.2","0"
"142",144,"M",44,0.2,"1","1",0.181818181818182,0.0198572506238032,"0.5",0.904969485614647,74,3,"0.2","0"
"143",145,"M",74,0.2,"1","1",0.151515151515152,0.0120337004911147,"0.75",0.982855013045099,46,4,"0.2","0"
"144",146,"M",36,0.2,"1","1",0.878787878787879,0.00920392141475455,"0",1,48,2,"0.2","0"
"145",147,"F",51,0.2,"0","0",0.464646464646465,0.343610017259271,"1",0.962264150943396,30,7,"0.2","0"
"146",148,"F",62,0.2,"1","1",0.292929292929293,0.0160014180626417,"0.75",0.969899062725306,23,4,"0.2","0"
"147",149,"F",39,0.2,"1","1",0.636363636363636,0.00196101449697795,"0.25",0.995850622406639,61,2,"0.2","0"
"148",150,"M",59,0.2,"1","1",0.222222222222222,0.00421561876354517,"0.5",0.964021615472127,6,3,"0.2","0"
"149",151,"F",62,0.2,"0","1",0.95959595959596,0.135503319638526,"1",1,12,5,"0.2","0"
"150",152,"M",59,0.2,"1","1",0.545454545454545,0.00691173606707938,"0.75",0.979356270810211,2,3,"0.2","0"
"151",153,"M",59,0.2,"1","1",0.575757575757576,0.00910691598007786,"0.75",0.964222873900293,35,3,"0.2","0"
"152",154,"F",64,0.2,"0","0",0.707070707070707,0.218414468471128,"1",0.972802024035421,59,6,"0.2","0"
"153",155,"F",64,0.2,"1","1",0.373737373737374,0.0123290164251434,"0.25",0.993975903614458,55,3,"0.2","0"
"154",156,"F",34,0.2,"1","1",0.757575757575758,0.0036004588453371,"0.5",1,25,2,"0.2","0"
"155",157,"M",24,0.4,"1","1",0.353535353535354,0.00915733760518373,"0.25",0.990062111801242,41,2,"0.4","0"
"156",158,"F",49,0.2,"1","1",0.565656565656566,0.02266809431941,"0.5",0.995238095238095,72,2,"0.2","0"
"157",159,"M",68,0.2,"1","1",0.464646464646465,0.00990003678074787,"0.25",0.989976869699306,5,3,"0.2","0"
"158",160,"M",26,0.2,"1","1",0.595959595959596,0.00405780011112538,"0.5",0.983249279538905,14,2,"0.2","0"
"159",161,"M",24,0.2,"1","1",0.303030303030303,0.011343729848859,"0.25",0.969899062725306,23,3,"0.2","0"
"160",162,"M",45,0.2,"0","1",0.585858585858586,0.173510840786485,"1",0.949232406140751,31,5,"0.2","0"
"161",163,"F",57,0.2,"1","1",0.292929292929293,0.00800221888574959,"0.25",0.969899062725306,23,3,"0.2","0"
"162",164,"M",52,0.2,"1","1",0.777777777777778,0.0167826661796849,"0.5",1,25,2,"0.2","0"
"163",165,"F",80,0.2,"0","0",0.282828282828283,0.0377342881316676,"1",0.0154559505409583,20,6,"0.2","0"
"164",166,"M",66,0.2,"1","1",0.171717171717172,0.00870155491234946,"0.25",0.982855013045099,46,3,"0.2","0"
"165",167,"F",76,0.2,"1","1",0.505050505050505,0.00873327315963712,"0",0.957218167072182,3,2,"0.2","0"
"166",168,"F",56,0.2,"1","1",0.727272727272727,0.00304484338564205,"0.5",1,65,2,"0.2","0"
"167",169,"F",62,0.2,"1","1",0.262626262626263,0.00853737323967577,"0",0.992853112657514,13,3,"0.2","0"
"168",170,"F",22,0.4,"1","1",0.353535353535354,0.00929119128954808,"0",0.990062111801242,41,2,"0.4","0"
"169",171,"M",47,0.2,"1","1",0.747474747474748,0.00395562761430342,"0.5",1,65,2,"0.2","0"
"170",172,"F",60,0.2,"1","1",0.484848484848485,0.00283513001482056,"0.5",0.989976869699306,5,3,"0.2","0"
"171",173,"M",36,0.2,"1","1",0.232323232323232,0.0122462297154737,"0.25",0.964021615472127,6,3,"0.2","0"
"172",174,"F",26,0.4,"1","1",0.757575757575758,0.000203493897017485,"0",0.99935691318328,69,1,"0.4","0"
"173",175,"M",35,0.2,"0","0",0.838383838383838,0.306458998700219,"1",1,15,6,"0.2","0"
"174",176,"F",33,0.2,"1","1",0.0707070707070707,0.00339742174647603,"0.5",0.963785796840889,42,3,"0.2","0"
"175",177,"M",62,0.2,"1","1",0.414141414141414,0.00187328278780724,"0.25",0.967834460151608,10,3,"0.2","0"
"176",178,"F",52,0.2,"1","1",0.555555555555556,0.0127078759538037,"0.25",0.979356270810211,2,2,"0.2","0"
"177",179,"F",73,0.2,"1","1",0.696969696969697,0.0113660577193015,"0.25",1,34,2,"0.2","0"
"178",180,"F",36,0.2,"1","1",0.777777777777778,0.000630590680110898,"0.75",1,25,3,"0.2","0"
"179",181,"F",51,0.2,"1","1",0.0707070707070707,0.0123671324349942,"0.25",0.963785796840889,42,3,"0.2","0"
"180",182,"M",32,0.2,"1","1",0.515151515151515,0.00988662105630209,"0",0.957218167072182,3,2,"0.2","0"
"181",183,"M",44,0.2,"1","1",0.0808080808080808,0.0130370707690751,"0",0.963785796840889,42,3,"0.2","0"
"182",184,"F",31,0.2,"1","1",0.616161616161616,0.00780145337684474,"0.25",0.983249279538905,14,2,"0.2","0"
"183",185,"F",67,1,"1","1",0.121212121212121,0.0109033230093368,"0",0.905070118662352,56,2,"1","0"
"184",186,"M",40,0.2,"1","1",0.161616161616162,0.00799650183109525,"0.75",0.982855013045099,46,4,"0.2","0"
"185",187,"M",35,0.2,"0","0",0.838383838383838,0.0801693813683427,"1",1,21,6,"0.2","0"
"186",188,"F",27,0.2,"0","1",0.0101010101010101,0.181025018142903,"1",0.869925671812464,28,6,"0.2","0"
"187",189,"M",49,0.2,"1","1",0.676767676767677,0.0034289391917199,"0.25",1,34,2,"0.2","0"
"188",190,"M",29,0.2,"1","1",0.212121212121212,0.00299922224259956,"0.5",0.964021615472127,6,3,"0.2","0"
"189",191,"M",31,0.2,"1","1",0.303030303030303,0.00952920554122561,"0.75",0.969899062725306,23,4,"0.2","0"
"190",192,"M",65,0.2,"0","0",0.757575757575758,0.0737119020131258,"1",1,21,6,"0.2","0"
"191",193,"M",52,0.2,"1","1",0.747474747474748,0.00943793901872921,"0.25",1,65,2,"0.2","0"
"192",194,"M",41,0.2,"1","1",0.212121212121212,0.00975690380493473,"0.5",0.964021615472127,6,3,"0.2","0"
"193",195,"M",74,0.2,"1","1",0.333333333333333,0.00937051259213445,"0",0.989998386836587,19,3,"0.2","0"
"194",196,"M",66,0.2,"0","0",0.262626262626263,0.0134487916445022,"1",0.0154559505409583,20,5,"0.2","0"
"195",197,"F",66,0.2,"1","1",0.0707070707070707,0.0120260182427294,"0.25",0.963785796840889,42,3,"0.2","0"
"196",198,"F",70,0.2,"0","1",0.595959595959596,0.118091124559673,"1",0.949232406140751,31,5,"0.2","0"
"197",199,"F",37,0.2,"1","1",0.313131313131313,0.0065526830199984,"0.5",0.969899062725306,23,3,"0.2","0"
"198",200,"F",68,0.2,"1","1",0.383838383838384,0.0087556306766497,"0.75",0.993975903614458,55,4,"0.2","0"
"199",201,"M",33,0.2,"0","0",0.101010101010101,0.000397306340326256,"1",0.885634588563459,51,6,"0.2","0"
"200",202,"F",30,0.2,"1","1",0.111111111111111,0.011246743670029,"0.5",0.963785796840889,42,3,"0.2","0"
"201",203,"F",25,0.2,"1","1",0.646464646464647,0.00737140881245329,"0.25",0.995850622406639,61,2,"0.2","0"
"202",204,"M",53,0.2,"1","1",0.222222222222222,0.0078864483014889,"0",0.964021615472127,6,3,"0.2","0"
"203",205,"F",45,0.2,"1","1",0.343434343434343,0.00366748866426625,"0.5",0.97212138812255,9,3,"0.2","0"
"204",206,"F",72,0.2,"1","1",0.939393939393939,0.0126323529157501,"0.75",1,64,3,"0.2","0"
"205",207,"F",26,0.2,"1","1",0.434343434343434,0.00453450877708639,"0.75",0.986548737792519,71,4,"0.2","0"
"206",208,"F",61,0.2,"1","1",0.747474747474748,0.00295529983090296,"0.5",1,65,2,"0.2","0"
"207",209,"F",43,0.2,"1","1",0.212121212121212,0.00590989601898903,"0.5",0.964021615472127,6,3,"0.2","0"
"208",210,"M",56,0.2,"1","1",0.373737373737374,0.00824446482517221,"0.75",0.993975903614458,55,4,"0.2","0"
"209",211,"F",45,0.4,"1","1",0.96969696969697,0.00610401184592436,"0",0.997014925373134,49,1,"0.4","0"
"210",212,"F",57,0.2,"1","1",0.424242424242424,0.00331219152385294,"0.5",0.967834460151608,10,3,"0.2","0"
"211",213,"F",44,0.2,"1","1",0.0404040404040404,0.00855939242285705,"0.25",0.985052562417871,26,3,"0.2","0"
"212",214,"M",47,0.2,"1","1",0.737373737373737,0.00417169130752167,"0.5",1,65,2,"0.2","0"
"213",215,"M",34,0.2,"0","1",0.909090909090909,0.00534499990096556,"1",1,12,4,"0.2","0"
"214",216,"M",68,0.2,"1","1",0.686868686868687,0.00680602228674362,"0.5",1,34,2,"0.2","0"
"215",217,"F",24,0.2,"1","1",0.282828282828283,0.00985347352468053,"0.25",0.992853112657514,13,3,"0.2","0"
"216",219,"M",51,0.2,"1","1",0.848484848484849,0.00555540807514636,"0.5",1,54,2,"0.2","0"
"217",220,"M",67,0.2,"1","1",0.94949494949495,0.00803771737837095,"0.25",1,67,2,"0.2","0"
"218",221,"F",79,0.2,"1","1",0.565656565656566,0.00983774123996248,"0",0.995238095238095,72,2,"0.2","0"
"219",222,"M",42,0.2,"1","1",0.656565656565657,0.0113608436140037,"0.75",0.995424388011897,62,3,"0.2","0"
"220",223,"F",39,0.2,"1","1",0.98989898989899,0.00741386474848882,"0.25",1,18,2,"0.2","0"
"221",224,"M",21,0.2,"1","1",0.272727272727273,0.00970901470967887,"0.75",0.992853112657514,13,4,"0.2","0"
"222",225,"F",48,0.2,"1","1",0.282828282828283,0.00688107345934316,"0.25",0.992853112657514,13,3,"0.2","0"
"223",226,"M",80,0.2,"1","1",0.565656565656566,0.00850334689910174,"0",0.995238095238095,72,2,"0.2","0"
"224",227,"F",58,0.2,"1","1",0.404040404040404,0.00503447097752344,"0.25",0.967834460151608,10,3,"0.2","0"
"225",228,"M",34,0.2,"0","1",0.0202020202020202,0.0824153828418486,"1",0.869925671812464,28,6,"0.2","0"
"226",229,"M",53,0.2,"1","1",1,0.00652483005358115,"0.75",1,18,3,"0.2","0"
"227",230,"M",67,0.2,"1","1",0.242424242424242,0.00321065363856602,"0.5",0.964021615472127,6,3,"0.2","0"
"228",231,"F",49,0.2,"1","1",0.515151515151515,0.00891269114906811,"0",0.957218167072182,3,2,"0.2","0"
"229",232,"F",70,0.2,"1","1",0.797979797979798,0.00813683182702281,"0.75",1,4,3,"0.2","0"
"230",233,"F",27,0.2,"0","0",0.95959595959596,0.0196268432496737,"1",1,50,5,"0.2","0"
"231",234,"F",48,0.2,"1","1",1,0.00712349167054401,"0",1,18,2,"0.2","0"
"232",235,"F",54,0.2,"1","1",0.868686868686869,0.0101885739573673,"0.25",1,48,2,"0.2","0"
"233",236,"M",76,0.2,"1","1",0.696969696969697,0.0173334939104428,"0.5",1,34,2,"0.2","0"
"234",237,"M",78,0.2,"0","0",0.595959595959596,0.0249446329175384,"1",0.972802024035421,59,5,"0.2","0"
"235",238,"F",58,0.2,"0","1",0.101010101010101,0.0328423867393218,"1",0.869925671812464,28,6,"0.2","0"
"236",239,"M",59,0.2,"0","0",0.626262626262626,0.190890754646307,"1",0.972802024035421,59,6,"0.2","0"
"237",240,"F",67,0.2,"1","1",0.96969696969697,0.00967230255775255,"0",1,67,2,"0.2","0"
"238",241,"M",68,0.2,"1","1",0.808080808080808,0.0115663696632997,"0",1,33,2,"0.2","0"
"239",243,"F",51,0.2,"1","1",0.484848484848485,0.00530797326101068,"0.25",0.989976869699306,5,3,"0.2","0"
